"filename", "language", "Rust", "Shell Script", "JavaScript", "Docker", "MS SQL", "TypeScript", "CSS", "JSON", "JSON with Comments", "HTML", "Markdown", "comment", "blank", "total"
"/Users/sunplix/rust-ctf/backend/src/routes/contests.rs", "Rust", 708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 777
"/Users/sunplix/rust-ctf/backend/src/routes/health.rs", "Rust", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 67
"/Users/sunplix/rust-ctf/backend/src/routes/instances.rs", "Rust", 3207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 325, 3532
"/Users/sunplix/rust-ctf/backend/src/routes/mod.rs", "Rust", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/sunplix/rust-ctf/backend/src/routes/scoreboard.rs", "Rust", 1244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 1376
"/Users/sunplix/rust-ctf/backend/src/routes/site.rs", "Rust", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49
"/Users/sunplix/rust-ctf/backend/src/routes/submissions.rs", "Rust", 624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 697
"/Users/sunplix/rust-ctf/backend/src/routes/teams.rs", "Rust", 1128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 1280
"/Users/sunplix/rust-ctf/backend/src/runtime_template.rs", "Rust", 632, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 728
"/Users/sunplix/rust-ctf/backend/src/state.rs", "Rust", 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 192
"/Users/sunplix/rust-ctf/frontend/Dockerfile", "Docker", 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, -4, -11
"/Users/sunplix/rust-ctf/frontend/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -1, -13
"/Users/sunplix/rust-ctf/frontend/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -1991, 0, 0, 0, 0, -1, -1992
"/Users/sunplix/rust-ctf/frontend/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -28, 0, 0, 0, 0, -1, -29
"/Users/sunplix/rust-ctf/frontend/scripts/i18n_extract.mjs", "JavaScript", 0, 0, -451, 0, 0, 0, 0, 0, 0, 0, 0, -2, -56, -509
"/Users/sunplix/rust-ctf/frontend/src/api/client.ts", "TypeScript", 0, 0, 0, 0, 0, -2483, 0, 0, 0, 0, 0, -2, -199, -2684
"/Users/sunplix/rust-ctf/frontend/src/assets/main.css", "CSS", 0, 0, 0, 0, 0, 0, -1143, 0, 0, 0, 0, 0, -192, -1335
"/Users/sunplix/rust-ctf/frontend/src/composables/useL10n.ts", "TypeScript", 0, 0, 0, 0, 0, -104, 0, 0, 0, 0, 0, 0, -17, -121
"/Users/sunplix/rust-ctf/frontend/src/composables/useMarkdown.ts", "TypeScript", 0, 0, 0, 0, 0, -50, 0, 0, 0, 0, 0, 0, -11, -61
"/Users/sunplix/rust-ctf/frontend/src/composables/usePasswordStrength.ts", "TypeScript", 0, 0, 0, 0, 0, -263, 0, 0, 0, 0, 0, 0, -34, -297
"/Users/sunplix/rust-ctf/frontend/src/composables/useTimeFormat.ts", "TypeScript", 0, 0, 0, 0, 0, -45, 0, 0, 0, 0, 0, 0, -11, -56
"/Users/sunplix/rust-ctf/frontend/src/env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"/Users/sunplix/rust-ctf/frontend/src/locales/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -72, 0, -36, -108
"/Users/sunplix/rust-ctf/frontend/src/locales/catalog.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -9984, 0, 0, 0, 0, -1, -9985
"/Users/sunplix/rust-ctf/frontend/src/locales/i18n.config.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, 0, -1, -21
"/Users/sunplix/rust-ctf/frontend/src/locales/i18n.ts", "TypeScript", 0, 0, 0, 0, 0, -126, 0, 0, 0, 0, 0, 0, -19, -145
